Item,Number of consumer units (in thousands),Income before taxes,Age of reference person,People,Children under 18,Adults 65 and older,Earners,Vehicles,Percent homeowner,Average annual expenditures,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy products,Fruits and vegetables,Other food at home,Food away from home,Alcoholic beverages,Housing,Shelter,Owned dwellings,Rented dwellings,Other lodging,"Utilities, fuels, and public services",Household operations,Housekeeping supplies,Household furnishings and equipment,Apparel and services,Transportation,Vehicle purchases (net outlay),"Gasoline, other fuels, and motor oil",Other vehicle expenses,Public and other transportation,Healthcare,Entertainment,Personal care products and services,Reading,Education,Tobacco products and smoking supplies,Miscellaneous,Cash contributions,Personal insurance and pensions,Life and other personal insurance,Pensions and Social Security
"Los
Angeles","6,337","$76,471 ",49.8,2.8,0.7,0.3,1.5,1.7,52,"$66,971 ","8,727","4,466",549,"1,050",423,970,"1,474","4,262",620,"24,331","16,454",7822,7881,751,3757,1583,761,1775,2150,9741,3346,2601,2950,845,3956,2764,868,110,2024,190,1430,1522,8538,307,8231
"San
Francisco","1,749","$124,002 ",49.6,2.5,0.5,0.4,1.4,1.8,55,"$79,291 ","8,918","4,487",599,"1,021",449,972,"1,447","4,431",875,"32,656","22,885",11958,9652,1275,4258,2580,560,2373,1878,7994,1904,1927,2544,1619,5013,3413,949,217,3214,82,1335,2412,10336,278,10059
San Diego,"1,244","$99,931 ",49.2,2.7,0.7,0.3,1.4,2.2,56,"$79,585 ","9,984","5,364",638,"1,224",520,997,"1,985","4,620","1,112","28,595","18,677",10855,6807,1016,3760,2081,876,3200,2563,10592,3188,2432,3781,1191,5272,4513,1086,192,2453,189,1322,2038,9673,625,9049
Seattle,"1,640","$117,844 ",47.9,2.4,0.5,0.3,1.5,1.9,59,"$83,790 ","10,958","5,978",754,"1,179",605,"1,362","2,078","4,980",986,"26,965","17,241",9377,6881,982,3964,2461,775,2524,3884,12810,5363,2032,4037,1378,5546,4295,841,200,2036,257,1527,3502,9983,376,9608
Phoenix,"1,420","$73,834 ",50,2.5,0.7,0.4,1.3,1.8,63,"$62,072 ","6,856","3,938",513,825,364,676,"1,559","2,918",485,"19,491","10,634",5738,4113,783,4071,1702,822,2262,1635,9985,4430,1914,2895,747,5328,3138,795,141,1129,402,912,1452,10323,266,10057
Denver,"1,422","$105,790 ",46.7,2.5,0.6,0.3,1.5,2,62,"$74,088 ","8,855","5,057",622,"1,127",502,"1,047","1,758","3,798",771,"25,059","15,452",8388,5727,1337,4015,1910,962,2720,2387,11841,5261,2028,3218,1334,6046,4340,1215,141,1430,310,1178,2397,8119,317,7802
Honolulu,532,"$93,672 ",53,2.7,0.6,0.5,1.4,1.7,54,"$65,099 ","10,036","5,161",511,"1,349",413,"1,071","1,816","4,875",658,"24,355","16,502",6982,8769,751,4203,1441,716,1492,1667,7391,1954,1794,2156,1488,3977,3285,705,77,1820,101,597,3512,6919,251,6668
Anchorage,206,"$96,094 ",49.1,2.6,0.6,0.3,1.5,2.5,60,"$71,606 ","8,306","5,284",655,"1,073",502,992,"2,062","3,022",788,"23,039","14,231",7966,5342,924,4590,1407,719,2092,1648,12446,5850,2307,2780,1510,4557,4346,778,121,1523,482,1526,1867,10179,455,9724
Chicago,"3,749","$76,639 ",49.9,2.5,0.6,0.4,1.3,1.6,63,"$60,582 ","8,170","4,518",539,977,453,954,"1,595","3,652",509,"21,254","13,546",8455,4209,882,3755,1417,692,1844,1987,7717,2850,1770,2323,774,5154,3328,958,129,1673,216,1034,1685,6768,303,6465
Detroit,"1,957","$80,928 ",52.9,2.4,0.5,0.4,1.3,1.9,66,"$60,183 ","7,397","4,113",563,887,392,809,"1,463","3,284",658,"18,794","10,429",6223,3361,846,4131,1515,713,2006,2102,10426,3409,1943,4307,768,5079,3002,848,94,1531,551,977,1526,7199,546,6653
